Origin,QA_ID,data_source,K_trainee_High,qwen72b_topK_sentence_ids,trainee_High_sentence_ids,n_sentences_in_excerpt,n_attribution_sources,n_matched_sources
ID1339,Merge Q3801,mmlu,7,"1,4,6,9,10,12,13","1,7,8,9,14,15,16",16,17,17
ID1340,Merge Q1851,medxpert,2,"1,2","1,2",7,7,7
ID1343,Merge Q1205,medbullets,4,"1,2,6,7","1,2,6,7",7,7,7
ID1345,Merge Q1274,medbullets,6,"1,2,3,4,7,8","1,2,3,7,8,9",9,9,9
ID1346,Merge Q298,jama,5,"1,2,3,6,7","1,2,5,6,7",7,8,7
ID1347,Merge Q659,jama,6,"1,2,5,6,7,9","1,2,7,8,9,10",10,9,8
ID1349,Merge Q606,jama,13,"1,2,4,5,6,7,9,10,11,12,13,14,15","1,3,4,5,6,7,9,10,11,12,13,14,15",15,16,15
ID1353,Merge Q292,jama,9,"1,2,3,5,6,7,10,11,14","1,3,4,5,9,10,11,12,13",14,15,14
ID1354,Merge Q701,jama,4,"7,9,11,13","2,3,4,13",13,12,11
ID1355,Merge Q4011,mmlu,2,"1,3","1,3",3,3,3
ID1357,Merge Q3369,medxpert,4,"1,3,5,7","1,5,6,7",7,12,7
ID1359,Merge Q264,jama,5,"1,4,5,6,10","1,3,4,7,9",11,9,9
ID1366,Merge Q528,jama,8,"3,4,5,6,8,9,10,11","1,3,4,5,6,7,8,11",12,13,12
ID1369,Merge Q3404,medxpert,5,"1,2,3,4,6","1,2,3,4,5",7,7,7
ID1371,Merge Q1296,medbullets,3,"4,5,8","1,6,8",8,8,8
ID1378,Merge Q1185,medbullets,9,"1,2,3,4,5,6,7,8,9","1,2,3,4,5,6,7,8,9",9,13,9
ID1380,Merge Q2836,medxpert,5,"1,2,3,6,7","1,2,3,6,7",7,7,7
ID1383,Merge Q3820,mmlu,3,"1,2,3","1,2,10",10,10,10
ID1384,Merge Q1154,medbullets,3,"1,4,6","1,4,9",9,9,9
ID1385,Merge Q1587,medxpert,3,"1,2,6","1,2,6",6,6,6
ID1387,Merge Q759,jama,12,"1,2,3,4,6,10,11,12,14,16,17,18","1,2,3,4,5,6,9,10,11,13,18,19",19,17,16
ID1388,Merge Q7,jama,5,"1,2,5,6,7","1,2,3,6,7",11,6,6
ID1389,Merge Q2367,medxpert,4,"2,3,4,5","1,2,3,4",5,5,5
ID1392,Merge Q2594,medxpert,5,"1,3,4,5,6","1,2,4,5,6",6,10,6
ID1394,Merge Q1183,medbullets,3,"1,6,7","5,6,7",13,13,13
ID1395,Merge Q2083,medxpert,7,"1,2,3,4,5,6,7","1,2,3,4,5,6,7",7,7,7
ID1396,Merge Q2072,medxpert,2,"2,3","2,3",4,4,4
ID1398,Merge Q880,jama,6,"3,4,5,6,7,9","1,4,6,7,8,9",11,11,11
ID1399,Merge Q3466,medxpert,6,"1,2,5,6,8,9","1,2,4,7,8,10",11,11,11
ID1401,Merge Q761,jama,6,"2,4,7,8,9,11","1,2,5,7,8,9",11,11,10
ID1402,Merge Q132,jama,4,"2,14,17,19","1,9,11,12",19,16,16
ID1403,Merge Q548,jama,10,"1,2,3,4,5,6,8,9,12,13","1,4,5,6,8,10,11,12,13,14",14,14,14
ID1405,Merge Q3871,mmlu,3,"1,2,5","1,4,5",5,5,5
ID1409,Merge Q2261,medxpert,3,"2,6,7","1,2,7",7,7,7
ID1413,Merge Q1194,medbullets,4,"3,4,7,9","2,3,4,9",10,11,10
ID1414,Merge Q2724,medxpert,5,"1,2,4,6,7","1,2,3,4,5",7,7,7
ID1416,Merge Q156,jama,9,"2,3,4,5,6,7,8,9,10","1,2,3,4,5,7,8,10,11",10,11,10
ID1418,Merge Q3803,mmlu,2,"6,11","1,11",14,14,14
ID1421,Merge Q4028,mmlu,5,"1,2,6,8,9","1,3,4,8,10",12,12,12
ID1422,Merge Q1265,medbullets,5,"2,3,4,8,10","1,4,8,9,10",10,14,10
ID1423,Merge Q3020,medxpert,4,"1,3,4,5","1,3,4,5",5,5,5
ID1425,Merge Q4005,mmlu,5,"1,2,4,5,6","1,2,4,5,6",6,6,6
ID1426,Merge Q4024,mmlu,7,"2,3,6,7,8,9,11","1,3,5,6,7,10,11",11,10,10
ID1428,Merge Q2653,medxpert,3,"1,2,4","1,2,5",5,5,5
ID1430,Merge Q618,jama,6,"3,4,5,11,12,13","1,5,6,7,12,13",14,15,14
ID1432,Merge Q2880,medxpert,3,"1,2,5","1,2,5",6,6,6
ID1434,Merge Q2609,medxpert,5,"1,3,5,6,7","1,2,4,5,7",7,18,7
ID1438,Merge Q452,jama,10,"1,3,5,8,9,12,13,15,17,19","1,2,3,4,5,9,15,16,17,19",19,16,16
ID1439,Merge Q1131,medbullets,6,"2,3,4,5,6,7","1,2,3,4,6,8",8,8,8
ID1442,Merge Q3841,mmlu,3,"3,6,7","1,2,3",8,8,8
ID1445,Merge Q3911,mmlu,3,"1,3,5","1,3,5",7,7,7
ID1446,Merge Q3903,mmlu,7,"1,2,3,4,6,7,8","1,2,3,5,6,7,8",8,8,8
ID1448,Merge Q2361,medxpert,5,"1,2,3,4,6","1,2,4,5,6",6,6,6
ID1450,Merge Q740,jama,13,"1,2,3,5,7,9,10,11,12,13,14,15,16","1,2,3,4,5,6,7,8,9,10,11,12,17",16,17,16
ID1452,Merge Q1200,medbullets,5,"1,5,7,8,9","1,4,5,7,9",9,18,9
ID1454,Merge Q3813,mmlu,4,"2,3,4,6","1,4,5,7",7,7,7
ID1459,Merge Q885,jama,4,"1,7,9,10","1,3,8,10",10,11,10
ID1460,Merge Q3967,mmlu,2,"1,2","1,3",4,4,4
ID1462,Merge Q3377,medxpert,4,"1,2,3,4","1,2,3,4",4,4,4
ID1463,Merge Q2542,medxpert,3,"1,2,3","1,2,3",4,4,4
ID1464,Merge Q532,jama,9,"1,3,4,5,6,8,9,10,12","1,2,3,5,7,8,9,10,12",13,14,13
ID1466,Merge Q3787,mmlu,5,"2,3,5,8,9","1,2,8,9,10",9,9,9
ID1467,Merge Q4046,mmlu,2,"10,11","1,11",11,11,11
ID1468,Merge Q1176,medbullets,5,"3,7,8,9,10","6,7,8,9,10",10,10,10
ID1469,Merge Q376,jama,4,"2,3,8,11","1,8,10,11",11,11,11
ID1474,Merge Q4030,mmlu,5,"1,2,4,5,7","3,4,5,6,7",7,7,7
ID1475,Merge Q1241,medbullets,4,"1,3,4,6","1,3,7,8",9,19,9
ID1479,Merge Q4023,mmlu,4,"2,3,4,7","1,2,4,7",7,7,7
ID1480,Merge Q1104,medbullets,3,"4,5,7","1,2,3",7,7,7
ID1483,Merge Q2511,medxpert,5,"1,2,4,5,6","1,2,3,5,6",6,6,6
ID1485,Merge Q478,jama,9,"1,2,3,5,8,9,10,12,17","1,2,4,7,8,9,11,15,17",17,18,17
ID1488,Merge Q1047,medbullets,5,"5,7,8,9,10","2,3,6,7,8",10,10,10
ID1489,Merge Q1055,medbullets,6,"1,2,5,6,7,9","1,2,5,6,7,8",9,9,9
ID1491,Merge Q688,jama,13,"1,2,3,4,5,6,7,8,9,10,11,12,14","1,2,3,4,5,6,8,9,10,11,12,13,14",14,11,11
ID1492,Merge Q2177,medxpert,2,"1,2","1,2",4,4,4
ID1494,Merge Q1169,medbullets,3,"1,3,8","1,2,8",8,9,8
ID1496,Merge Q1129,medbullets,3,"1,4,6","1,4,6",6,6,6
ID1500,Merge Q3815,mmlu,3,"1,3,4","1,3,4",4,4,4
ID1501,Merge Q3033,medxpert,2,"1,4","1,4",5,5,5
ID1504,Merge Q2119,medxpert,3,"1,3,4","1,3,4",4,4,4
ID1505,Merge Q492,jama,9,"2,3,6,7,8,9,10,12,18","1,2,4,7,8,10,13,14,18",18,18,17
ID1506,Merge Q3870,mmlu,1,1,1,4,4,4
ID1507,Merge Q4045,mmlu,1,4,1,4,4,4
ID1508,Merge Q1103,medbullets,1,8,8,12,13,12
ID1513,Merge Q82,jama,11,"1,2,3,4,5,7,8,11,12,13,14","1,2,3,4,5,9,10,11,12,13,17",24,22,21
ID1515,Merge Q3927,mmlu,4,"2,3,6,8","1,2,3,8",11,11,11
ID1520,Merge Q304,jama,7,"4,6,7,8,9,12,16","1,2,4,7,11,12,13",16,14,14
ID1524,Merge Q4010,mmlu,2,"1,7","1,7",7,7,7
ID1525,Merge Q754,jama,8,"1,4,5,10,11,12,13,14","1,2,6,10,11,12,13,14",15,12,12
ID1526,Merge Q1324,medbullets,6,"1,2,4,6,7,8","1,2,3,4,6,7",8,9,8
ID1530,Merge Q756,jama,11,"2,4,5,6,8,9,10,11,12,14,15","1,2,4,5,8,10,11,12,13,14,15",15,12,12
ID1531,Merge Q827,jama,4,"1,2,3,4","1,2,3,4",6,7,6
ID1534,Merge Q1240,medbullets,5,"2,3,8,10,12","1,2,6,9,10",13,13,13
ID1536,Merge Q1051,medbullets,4,"1,2,3,4","2,3,5,6",6,7,6
ID1538,Merge Q29,jama,13,"1,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,13,14,15",15,14,13
ID1539,Merge Q1177,medbullets,6,"1,3,4,7,8,9","1,2,4,7,8,9",9,9,9
ID1540,Merge Q258,jama,9,"2,3,6,7,8,11,12,14,15","1,3,4,8,10,11,12,13,14",15,12,11
ID1541,Merge Q1319,medbullets,7,"1,2,3,4,5,6,7","1,2,3,6,7,8,9",9,19,9
ID1543,Merge Q3853,mmlu,7,"1,2,3,5,7,8,10","1,2,3,5,6,7,10",10,10,10
ID1544,Merge Q3922,mmlu,6,"1,3,4,5,6,7","1,2,4,5,6,7",7,7,7
ID1550,Merge Q224,jama,12,"1,2,3,5,6,9,10,12,13,14,15,16","1,6,7,8,9,10,11,12,13,14,15,16",16,13,12
ID1551,Merge Q293,jama,12,"2,3,5,8,10,11,12,13,14,15,16,20","1,2,3,4,5,10,12,14,15,17,19,20",21,19,18
ID1552,Merge Q1291,medbullets,4,"1,2,3,4","1,2,7,8",8,8,8
ID1553,Merge Q1145,medbullets,5,"1,2,3,5,15","4,5,6,8,10",15,15,15
ID1557,Merge Q2962,medxpert,2,"1,7","1,7",8,8,8
ID1558,Merge Q189,jama,4,"1,2,4,7","1,5,6,7",8,9,8
ID1559,Merge Q1937,medxpert,3,"1,2,7","1,2,7",7,7,7
ID1565,Merge Q1316,medbullets,2,"1,2","1,2",11,11,11
ID1567,Merge Q2517,medxpert,3,"1,6,7","2,3,7",7,7,7
ID1569,Merge Q3812,mmlu,2,"1,3","1,2",3,3,3
ID1570,Merge Q1037,medbullets,3,"1,2,8","1,2,8",8,8,8
ID1571,Merge Q3196,medxpert,3,"1,2,3","1,2,7",9,9,9
ID1572,Merge Q1702,medxpert,4,"1,2,3,5","1,2,3,4",5,5,5
ID1573,Merge Q51,jama,6,"2,3,4,6,7,9","1,2,3,9,10,14",14,13,12
ID1574,Merge Q985,jama,6,"2,4,6,10,12,14","1,6,9,10,13,14",14,13,12
ID1575,Merge Q426,jama,10,"1,2,6,7,8,9,10,11,14,16","1,2,3,4,7,10,11,12,13,14",16,13,13
ID1578,Merge Q1782,medxpert,5,"1,2,3,4,7","1,2,3,4,7",7,7,7
ID1581,Merge Q591,jama,10,"1,2,4,5,6,7,8,10,11,12","1,2,4,5,6,7,8,9,11,12",13,9,9
ID1582,Merge Q1517,medxpert,5,"1,3,4,5,7","1,4,5,6,7",7,7,7
ID1583,Merge Q3924,mmlu,6,"1,2,3,5,6,7","1,2,4,5,6,7",7,7,7
ID1585,Merge Q324,jama,4,"2,5,6,10","1,2,3,7",11,12,11
ID1586,Merge Q3996,mmlu,4,"5,8,9,15","1,4,6,8",15,16,16
ID1587,Merge Q3792,mmlu,3,"1,2,4","1,2,4",4,4,4
ID1588,Merge Q238,jama,12,"3,4,5,6,7,9,10,11,12,13,14,15","1,2,5,7,8,9,10,11,12,13,14,15",15,14,13
ID1590,Merge Q3917,mmlu,1,5,1,6,7,7
ID1591,Merge Q3015,medxpert,4,"1,2,6,7","1,2,3,6",7,7,7
ID1593,Merge Q1949,medxpert,6,"1,2,3,5,6,7","1,2,3,5,6,8",8,8,8
ID1594,Merge Q17,jama,7,"1,2,3,4,5,7,9","1,2,5,6,7,8,9",9,9,9
ID1596,Merge Q4022,mmlu,7,"1,3,4,6,7,8,12","1,4,5,6,8,9,11",12,12,12
ID1599,Merge Q1076,medbullets,5,"3,5,6,8,9","1,2,3,8,9",9,10,9
ID1602,Merge Q1113,medbullets,6,"1,3,4,6,7,8","1,3,4,5,7,8",8,9,8
ID1612,Merge Q660,jama,6,"2,3,4,5,10,13","1,2,6,10,11,13",14,13,13
ID1613,Merge Q3872,mmlu,2,"3,5","1,4",5,5,5
ID1614,Merge Q2813,medxpert,2,"3,5","3,5",5,6,6
ID1617,Merge Q2710,medxpert,4,"1,4,5,7","1,5,6,7",8,14,8
ID1622,Merge Q3962,mmlu,4,"1,4,6,8","1,3,7,8",11,11,11
ID1632,Merge Q1080,medbullets,4,"1,2,5,6","1,2,5,6",7,7,7
ID1633,Merge Q3791,mmlu,4,"1,3,4,5","1,2,4,5",5,5,5
ID1636,Merge Q1276,medbullets,6,"1,2,3,5,6,9","1,2,3,4,5,7",9,9,9
ID1637,Merge Q1247,medbullets,2,"1,2","1,2",6,6,6
ID1638,Merge Q787,jama,10,"1,4,11,13,14,16,17,18,19,20","1,2,3,8,15,16,17,18,19,20",22,21,21
ID1646,Merge Q3228,medxpert,3,"2,3,4","1,2,4",4,4,4
ID1650,Merge Q3817,mmlu,7,"1,2,3,6,12,13,15","1,2,3,10,12,13,15",15,15,15
ID1651,Merge Q995,jama,9,"1,2,3,4,5,6,7,8,9","1,2,3,4,5,6,7,8,9",9,9,8
ID1652,Merge Q290,jama,4,"3,7,9,10","1,4,9,10",10,11,10
ID1654,Merge Q3350,medxpert,5,"1,2,3,5,6","1,2,3,4,6",6,11,6
ID1656,Merge Q2143,medxpert,3,"1,4,5","1,4,5",6,6,6
ID1659,Merge Q232,jama,8,"1,3,4,7,8,11,13,18","1,10,11,12,13,14,18,19",19,17,17
ID1660,Merge Q3885,mmlu,2,"1,3","1,3",3,3,3
ID1662,Merge Q4004,mmlu,5,"1,3,4,5,6","1,2,4,5,6",6,6,6
ID1663,Merge Q732,jama,5,"1,3,4,7,9","1,2,3,7,9",14,13,12
ID1664,Merge Q142,jama,13,"2,3,4,5,6,7,8,9,10,12,13,14,15","1,2,4,5,6,7,8,9,10,11,12,13,14",15,11,11
ID1667,Merge Q3394,medxpert,3,"2,6,9","1,2,3",9,9,9
ID1668,Merge Q1309,medbullets,9,"1,2,3,4,5,6,7,9,10","1,2,3,5,6,7,8,9,10",10,10,10
ID1672,Merge Q983,jama,4,"1,3,4,5","1,2,4,5",5,6,5
ID1673,Merge Q3262,medxpert,3,"1,2,4","1,2,3",5,5,5
ID1674,Merge Q343,jama,7,"1,5,7,11,14,15,17","1,3,6,7,11,16,17",17,18,17
ID1676,Merge Q3223,medxpert,3,"1,2,3","1,2,3",4,4,4
ID1678,Merge Q972,jama,3,"1,2,10","1,2,5",10,8,8
ID1679,Merge Q600,jama,9,"1,4,6,7,8,9,11,12,13","1,2,3,4,5,7,9,10,11",13,14,13
ID1684,Merge Q1450,medxpert,3,"1,2,4","1,3,4",7,7,7
ID1685,Merge Q1134,medbullets,4,"1,3,4,5","1,3,7,8",8,8,8
ID1688,Merge Q3828,mmlu,1,1,1,7,7,7
ID1691,Merge Q3003,medxpert,3,"2,9,15","1,13,15",15,38,15
ID1693,Merge Q1297,medbullets,7,"1,2,3,7,8,9,10","1,2,5,6,7,8,9",10,10,10
ID1694,Merge Q2536,medxpert,4,"2,3,4,10","1,2,3,4",11,11,11
ID1696,Merge Q2582,medxpert,3,"3,4,6","1,2,6",6,6,6
ID1698,Merge Q1581,medxpert,5,"1,2,3,6,7","1,3,4,5,6",7,8,8
ID1699,Merge Q313,jama,6,"3,4,6,8,11,13","1,2,3,4,6,7",13,13,13
ID1700,Merge Q3849,mmlu,9,"1,2,3,5,6,7,8,9,10","1,2,3,6,7,8,9,11,12",12,12,12
ID1701,Merge Q3843,mmlu,5,"2,4,5,6,9","1,2,4,6,9",9,9,9
ID1704,Merge Q1192,medbullets,4,"1,4,6,8","1,2,5,6",8,10,9
ID1712,Merge Q2383,medxpert,4,"1,2,4,5","1,2,3,4",5,5,5
ID1713,Merge Q145,jama,5,"1,2,3,6,7","1,2,3,6,7",7,8,7
ID1715,Merge Q3850,mmlu,1,2,6,6,6,6
ID1717,Merge Q1431,medxpert,6,"1,4,5,7,11,12","1,5,9,10,12,14",14,14,14
ID1718,Merge Q1175,medbullets,3,"2,4,8","3,8,9",9,9,9
ID1722,Merge Q1854,medxpert,7,"1,2,3,4,5,6,7","1,2,3,4,5,6,7",7,7,7
ID1724,Merge Q2132,medxpert,5,"1,2,6,9,11","1,2,6,10,11",11,11,11
ID1725,Merge Q3992,mmlu,3,"2,8,9","1,8,9",10,10,10
ID1727,Merge Q2376,medxpert,6,"1,2,3,4,6,8","1,2,3,4,5,6",8,8,8
ID1734,Merge Q454,jama,6,"1,3,4,5,6,7","1,2,3,4,6,7",7,8,7
ID1738,Merge Q1323,medbullets,4,"3,4,5,11","2,3,4,5",11,12,11
ID1741,Merge Q3417,medxpert,4,"2,4,6,8","1,2,6,8",8,8,8
ID1742,Merge Q3295,medxpert,3,"1,4,6","1,4,7",7,15,7
ID1743,Merge Q2450,medxpert,2,"4,5","1,5",5,5,5
ID1744,Merge Q3118,medxpert,3,"2,3,6","1,2,6",6,6,6
ID1746,Merge Q2053,medxpert,1,4,4,4,4,4
ID1747,Merge Q57,jama,8,"1,2,3,4,5,9,10,11","1,2,3,4,7,8,9,10",11,14,11
ID1749,Merge Q3795,mmlu,4,"1,2,3,7","1,2,5,7",7,7,7
ID1750,Merge Q2678,medxpert,2,"1,2","1,2",3,3,3
ID1751,Merge Q3297,medxpert,2,"1,3","1,6",7,7,7
ID1755,Merge Q2936,medxpert,5,"1,2,4,5,6","1,3,4,5,6",6,6,6
ID1757,Merge Q2202,medxpert,3,"1,2,3","1,2,3",5,5,5
ID1758,Merge Q1648,medxpert,3,"1,4,5","1,4,5",5,5,5
ID1761,Merge Q240,jama,9,"2,4,5,6,9,10,11,12,14","1,6,7,8,9,10,11,12,13",14,13,12
ID1762,Merge Q763,jama,4,"2,3,7,8","1,7,8,9",10,7,7
ID1766,Merge Q2231,medxpert,6,"1,2,3,6,7,8","1,2,4,6,7,8",8,8,8
ID1768,Merge Q1285,medbullets,2,"2,3","1,2",8,8,8
ID1769,Merge Q903,jama,9,"1,2,6,7,8,10,11,12,13","1,2,3,5,6,7,13,14,15",15,13,12
ID1772,Merge Q2122,medxpert,3,"1,3,4","1,3,4",4,4,4
ID1773,Merge Q1647,medxpert,5,"1,6,7,8,9","1,4,6,8,9",10,21,10
ID1774,Merge Q4054,mmlu,3,"1,2,5","1,4,5",5,4,4
ID1776,Merge Q1765,medxpert,3,"1,4,7","1,2,7",8,8,8
ID1777,Merge Q3326,medxpert,3,"1,2,4","1,2,4",4,4,4
ID1778,Merge Q2473,medxpert,4,"1,2,3,4","1,2,4,5",6,6,6
ID1779,Merge Q1974,medxpert,2,"4,5","4,5",5,5,5
ID1783,Merge Q3202,medxpert,4,"1,2,5,7","1,5,6,8",8,8,8
ID1788,Merge Q3818,mmlu,4,"3,5,6,8","1,9,10,13",13,13,13
ID1789,Merge Q3415,medxpert,5,"1,2,4,6,7","1,3,8,9,10",10,24,10
ID1791,Merge Q470,jama,3,"1,4,10","1,2,10",11,12,11
ID1792,Merge Q584,jama,13,"1,5,7,9,10,11,12,13,14,15,16,17,19","1,2,3,5,6,7,10,12,13,14,18,19,21",23,22,22
ID1793,Merge Q3883,mmlu,6,"1,2,3,5,6,7","1,3,4,5,6,7",8,8,8
ID1795,Merge Q3486,medxpert,4,"1,2,3,4","1,2,3,4",4,4,4
ID1797,Merge Q848,jama,11,"3,4,5,6,7,8,9,10,11,12,13","1,2,3,4,6,8,9,10,11,12,13",13,14,13
ID1798,Merge Q4018,mmlu,7,"1,3,6,7,8,9,10","1,3,6,7,8,9,10",10,10,10
ID1800,Merge Q3877,mmlu,3,"1,2,4","1,4,9",11,11,11
ID1802,Merge Q779,jama,5,"1,5,6,9,11","1,2,5,9,12",13,14,13
ID1807,Merge Q550,jama,11,"1,2,3,4,5,7,8,9,10,11,12","1,2,3,4,5,6,7,8,9,10,11",12,13,12
ID1808,Merge Q3800,mmlu,2,"2,3","2,3",3,3,3
ID1817,Merge Q3134,medxpert,3,"2,5,7","1,2,7",7,7,7
ID1818,Merge Q3918,mmlu,6,"3,4,5,6,8,9","1,5,6,7,8,9",9,9,9
ID1819,Merge Q111,jama,7,"1,3,5,6,9,10,12","1,2,6,7,8,10,11",12,12,12
ID1820,Merge Q275,jama,4,"3,5,7,9","1,3,4,7",11,11,10
ID1821,Merge Q1095,medbullets,11,"1,3,4,5,6,7,8,9,10,11,12","1,2,3,7,8,10,11,12,13,14,15",15,15,15
ID1822,Merge Q1196,medbullets,5,"3,4,5,6,7","2,3,8,9,13",13,13,13
ID1824,Merge Q1081,medbullets,2,"7,8","3,7",8,8,8
ID1825,Merge Q1728,medxpert,3,"2,7,8","1,3,6",8,8,8
ID1826,Merge Q3907,mmlu,3,"1,3,5","1,2,3",8,9,9
ID1827,Merge Q4053,mmlu,5,"1,3,8,9,10","1,6,7,9,10",10,10,10
ID1831,Merge Q750,jama,4,"1,2,3,4","1,8,9,14",15,13,13
ID1833,Merge Q1159,medbullets,3,"1,3,6","1,2,6",7,7,7
ID1834,Merge Q2027,medxpert,1,1,1,3,3,3
ID1837,Merge Q64,jama,5,"1,2,4,5,8","1,2,4,7,8",9,6,6
ID1838,Merge Q1282,medbullets,5,"1,2,5,6,7","1,2,3,9,10",9,24,9
ID1840,Merge Q2838,medxpert,2,"1,5","1,4",5,14,5
ID1841,Merge Q165,jama,8,"1,2,4,5,6,7,8,9","1,2,3,4,5,6,8,9",10,11,10
ID1842,Merge Q619,jama,9,"1,3,4,5,6,7,9,10,11","1,2,3,8,9,11,14,15,17",17,16,15
ID1843,Merge Q3908,mmlu,2,"2,3","1,3",3,3,3
ID1845,Merge Q1072,medbullets,6,"1,2,4,6,7,8","1,2,4,5,7,8",9,9,9
ID1846,Merge Q1223,medbullets,8,"1,3,4,6,7,8,9,12","1,2,3,4,5,10,11,12",12,13,12
ID1849,Merge Q3983,mmlu,4,"1,2,4,5","1,2,3,4",5,5,5
ID1850,Merge Q846,jama,5,"1,6,10,11,12","1,8,9,11,12",14,12,12
ID1851,Merge Q3861,mmlu,2,"2,3","2,3",3,3,3
ID1855,Merge Q690,jama,8,"1,2,3,4,5,6,7,9","1,2,4,5,6,7,8,9",9,9,8
ID1858,Merge Q2820,medxpert,7,"1,2,3,4,5,6,7","1,2,3,5,6,8,9",9,20,9
ID1859,Merge Q364,jama,9,"1,2,3,4,6,7,8,12,14","1,2,6,7,8,9,11,12,14",14,13,12
ID1862,Merge Q3986,mmlu,3,"1,5,6","1,5,6",6,6,6
ID1863,Merge Q3789,mmlu,3,"3,9,10","1,3,10",10,10,10
ID1865,Merge Q751,jama,5,"1,3,5,7,13","1,6,7,11,13",13,11,11
ID1866,Merge Q3858,mmlu,3,"1,3,4","1,3,4",4,4,4
ID1873,Merge Q4037,mmlu,2,"1,4","1,4",4,4,4
ID1874,Merge Q3884,mmlu,2,"1,4","1,4",4,4,4
ID1875,Merge Q714,jama,7,"1,3,4,5,6,7,8","1,3,4,5,6,7,8",9,8,8
ID1880,Merge Q1216,medbullets,6,"2,4,6,7,9,10","1,2,3,4,7,10",12,13,13
ID1881,Merge Q3867,mmlu,3,"1,2,3","1,2,3",3,3,3
ID1882,Merge Q1304,medbullets,7,"1,2,3,4,6,8,9","1,2,4,5,6,7,8",9,9,9
ID1886,Merge Q1731,medxpert,5,"1,2,3,4,6","1,2,3,4,6",6,6,6
ID1887,Merge Q913,jama,6,"1,3,6,9,10,11","1,6,8,9,10,11",11,12,11
ID1888,Merge Q1640,medxpert,4,"1,2,6,7","1,5,6,7",7,7,7
ID1889,Merge Q3831,mmlu,4,"2,3,4,7","1,2,6,7",7,7,7
ID1890,Merge Q3440,medxpert,3,"1,2,4","1,2,4",5,5,5
ID1892,Merge Q1500,medxpert,5,"2,5,6,7,8","1,2,3,5,6",8,8,8
ID1893,Merge Q52,jama,10,"3,4,6,7,9,11,13,15,16,17","1,3,5,8,12,15,16,17,18,19",19,15,14
ID1895,Merge Q1150,medbullets,5,"1,2,3,6,7","1,2,3,6,7",7,8,7
ID1896,Merge Q2437,medxpert,3,"2,4,5","1,2,5",5,5,5
ID1898,Merge Q1085,medbullets,6,"1,2,3,4,6,8","1,2,3,6,7,8",8,8,8
ID1900,Merge Q107,jama,3,"4,6,15","1,6,9",15,14,14
ID1902,Merge Q624,jama,7,"1,3,4,6,8,11,12","1,4,6,7,9,10,11",12,10,10
ID1904,Merge Q227,jama,2,"1,3","1,2",8,8,8
ID1905,Merge Q3462,medxpert,7,"1,2,3,4,6,7,8","1,2,3,4,6,7,8",8,8,8
ID1908,Merge Q3977,mmlu,5,"1,2,3,4,5","1,3,4,5,9",9,9,9
ID1909,Merge Q154,jama,1,1,1,8,11,8
ID1910,Merge Q3105,medxpert,6,"2,3,4,5,6,7","1,3,4,5,6,7",8,8,8
ID1911,Merge Q3878,mmlu,3,"1,6,7","1,6,7",7,7,7
ID1912,Merge Q3804,mmlu,2,"1,2","1,3",12,12,12
ID1913,Merge Q2115,medxpert,6,"1,2,3,4,5,7","1,3,4,5,6,7",8,8,8
ID1915,Merge Q1473,medxpert,5,"1,2,3,4,5","1,2,3,4,5",5,5,5
ID1917,Merge Q597,jama,5,"1,2,3,4,14","1,6,14,15,16",16,14,14
ID1918,Merge Q890,jama,4,"2,4,5,8","1,6,7,9",12,13,12
ID1919,Merge Q1041,medbullets,2,"2,5","1,7",7,8,7
ID1923,Merge Q1743,medxpert,4,"1,2,4,5","1,3,4,5",5,5,5
ID1924,Merge Q1871,medxpert,3,"1,8,9","1,2,3",9,9,9
ID1925,Merge Q214,jama,10,"1,2,4,5,7,10,11,12,13,14","1,2,3,4,5,6,7,8,10,11",14,14,13
ID1927,Merge Q1217,medbullets,2,"1,3","1,4",9,9,9
ID1928,Merge Q435,jama,5,"2,7,9,11,12","1,2,3,8,9",12,11,11
ID1929,Merge Q1848,medxpert,3,"2,6,8","1,6,8",8,8,8
ID1931,Merge Q30,jama,2,"2,5","1,2",6,5,5
ID1934,Merge Q821,jama,4,"1,2,3,5","1,2,3,6",9,5,5
ID1937,Merge Q26,jama,7,"2,4,5,6,8,10,11","1,2,4,5,6,8,9",13,11,11
ID1938,Merge Q1325,medbullets,6,"1,2,4,5,6,10","1,2,3,5,6,10",10,10,10
ID1940,Merge Q799,jama,3,"3,7,8","1,6,7",8,8,8
ID1941,Merge Q1877,medxpert,6,"1,2,4,5,7,8","1,2,5,6,7,8",8,8,8
ID1944,Merge Q3506,medxpert,5,"1,2,4,5,7","1,3,5,6,7",7,7,7
ID1945,Merge Q1161,medbullets,6,"1,3,4,5,7,9","1,2,3,4,7,8",9,9,9
ID1946,Merge Q2255,medxpert,5,"1,2,3,5,6","1,2,3,6,8",8,8,8
ID1947,Merge Q1480,medxpert,6,"1,2,3,4,6,7","1,2,3,4,6,7",7,7,7
ID1948,Merge Q3427,medxpert,4,"1,4,5,6","3,4,5,6",6,6,6
ID1955,Merge Q1083,medbullets,6,"1,2,3,5,7,8","1,2,3,5,8,9",9,9,9
ID1956,Merge Q738,jama,1,2,1,6,6,6
ID1957,Merge Q1645,medxpert,3,"1,2,4","1,2,4",5,5,5
