Origin,Qwen72B_High_Relevance,question_options,data_source_corr_x,Correct answer
ID0941,"2. Emergency personnel found her unconscious with slow, irregular breathing and intubated her on the scene. 4. She remains unconscious, with ecchymosis noted behind the left ear and a visibly deformed distal left upper extremity. 5. Her pupils are unequal in size (right larger than left) and sluggish to react.","What is the most appropriate next step in management for this patient?

A. Perform immediate burr hole decompression  
B. Perform a lumbar puncture  
C. Obtain a CT scan of the head  
E. Administer a mannitol bolus  
F. Delay imaging until neurosurgical evaluation  
G. Initiate therapeutic hypothermia  
H. Administer anticonvulsant prophylaxis  
I. Administer hypertonic saline infusion  
J. Administer a bolus of IV corticosteroids",medxpert,E
ID0942,"1. A 63-year-old male presents to the clinic with complaints of dysphagia and worsening ""heartburn"" over the past year.   5. Barium swallow fluoroscopy reveals a subdiaphragmatic gastroesophageal junction with herniation of the gastric fundus into the left hemithorax.","Which of the following is the most appropriate next step in managing this patient’s underlying condition?

A. Upper endoscopy with biopsy  
B. Lifestyle modification  
C. Calcium channel blocker therapy  
D. Omeprazole  
E. H2 receptor antagonist therapy  
F. Metoclopramide  
G. Laparoscopic Nissen fundoplication  
H. Surgical gastropexy  
I. Watchful waiting with annual follow-up  
J. Lifestyle modifications and weight loss",medxpert,H
ID0944,1. A 37-year-old man comes to the physician because of nonradiating low back pain for 3 days. 3. He has not had any change in bowel movements or urination. 6. Examination of the back shows bilateral paravertebral muscle spasm. 7. Range of motion is limited by pain. 8. Straight-leg raising is negative.,"In addition to analgesia, which of the following is the most appropriate next step in management?

A. Bed rest

B. Regular activity

C. X-rays of the spine

D. MRI of the spine",mmlu,B
ID0948,"5. On physical examination, heart and lung sounds are normal, but there is localized tenderness over the right anterior rib cage and restricted sidebending of T1–T6 to the right.   6. Ribs 2–5 on the right show poor elevation during inhalation but descend normally with exhalation.","Which muscle should be activated to address this patient's rib somatic dysfunction?

A. Levator scapulae  
B. Pectoralis minor  
C. Sternocleidomastoid  
D. Trapezius  
E. Rhomboid major  
F. Posterior scalene  
G. Intercostal muscles  
H. Serratus anterior  
I. External oblique  
J. Anterior scalene",medxpert,F
ID0949,"1. A 14-year-old boy presents to his pediatrician with a 2-month history of intermittent arm and leg spasms.   2. He says that the spasms usually occur after he wakes up as he is getting ready for school, and consist of disorganized jerking motions that stop after a few minutes.   3. He has also noticed that they occur when he stays up late to cram last minute for exams.  ","Which of the following is the most likely cause of this patient's symptoms?

A. Alcohol intoxication  
B. Cannabinoid use  
C. Juvenile myoclonic epilepsy  
D. Absence seizures",medbullets,C
ID0951,"4. The physician refers to a randomized, double-blind, placebo-controlled clinical trial that evaluated the effectiveness of a new drug for the treatment of the common cold. 5. The mean time for resolution of symptoms for patients receiving the new drug was 6.4 days, compared with a mean time of 6.7 days for patients receiving the placebo (p=0.04).","Which of the following is the most appropriate interpretation of these study results?

A. The findings are clinically and statistically significant

B. The findings are clinically insignificant but statistically significant

C. The findings are clinically significant but statistically insignificant

D. The findings are neither clinically nor statistically significant",mmlu,B
ID0953,"1. A 29-year-old Hispanic woman, gravida 3, para 3, comes to the office because of recurrent low back pain during the past year. 3. However, the pain seems to recur every 2 to 3 months.","Which of the following is the most appropriate next step?

A. Administer an epidural injection of methylprednisolone

B. Order MRI of the lumbosacral spine

C. Order x-rays of the lumbosacral spine

D. Recommend beginning a weight loss program",mmlu,D
ID0957,"1. A male neonate, aged 2 weeks, is brought to primary care with symptoms of excessive sleepiness, feeding difficulties, and grunting. 3. Initially healthy, the infant's condition has gradually deteriorated since birth. 5. Current vital signs show: temperature 98.6 ºF, blood pressure 80/40 mmHg, heart rate 200/min, and respiratory rate 70/min. 6. Physical examination reveals nasal flaring, costosternal retractions, and perioral cyanosis. 7. Cardiac auscultation demonstrates a single S2 and a systolic ejection murmur. 8. The liver is enlarged on abdominal palpation, and all peripheral pulses are bounding. 9. Chest imaging shows an enlarged cardiac silhouette with increased pulmonary vasculature.","What is the most likely underlying pathology in this case?

A. Tetralogy of Fallot  
B. Patent ductus arteriosus  
C. Double outlet right ventricle  
D. Hypoplastic left heart syndrome  
E. Ebstein anomaly  
F. Total anomalous pulmonary venous connection  
G. Tricuspid atresia  
H. Transposition of the great arteries  
I. Atrioventricular septal defect  
J. Truncus arteriosus",medxpert,J
ID0962,"1. A 42-year-old man presented with spontaneous ecchymoses of the extremities for the past 2 days and spontaneous epistaxis for the past 2 hours. 4. Physical examination revealed multiple ecchymoses on the extremities and abdomen but was otherwise unremarkable. 5. Laboratory evaluation showed a white blood cell count of 2.4 × 103/µL, with 13% neutrophils, 32% lymphocytes, 1% monocytes, 0% eosinophils, 0% basophils, and 54% blasts. 6. Hemoglobin level was 10.3 g/dL, and platelet count was 20 × 103/µL. 7. Prothrombin time was 14.5 seconds; international normalized ratio, 1.4; partial thromboplastin time, 27 seconds; D-dimer level, 2.524 μg/mL (13.82 nmol/L); and fibrinogen level, 68 mg/dL (2 μmol/L). 8. A peripheral blood smear was obtained (Figure).","What Would You Do Next?

A: Administer all-trans retinoic acid (ATRA) after consulting a hematologist  
B: Administer cytarabine and daunorubicin chemotherapy after consulting a hematologist  
C: Perform a bone marrow biopsy  
D: Place a central venous catheter in preparation for replacing blood products",jama,A
ID0963,6. The patient is using insurance coverage through his wife but does not wish for his diagnosis to be disclosed to anyone.  ,"After listening to his requests and weighing your obligations, you should disclose this patient's diagnosis only to which of the following?  

A. His Cocaine Anonymous sponsor  
B. His probation officer  
C. His wife  
D. Insurance company",mmlu,D
ID0965,"3. Her vital signs include a pulse of 110/min, respiratory rate of 24/min, temperature of 36.7°C (98°F), and blood pressure of 90/60 mm Hg. 4. On examination, she is breathing heavily and provides nonsensical responses to questions. 5. Her skin and mucous membranes are dry, and abdominal palpation reveals mild diffuse tenderness. 7. Laboratory results are as follows:

| **Finger-stick glucose** | **630 mg/dL** |
| --- | --- |
| **Arterial blood gas** | |
| pH | 7.1 |
| PO2 | 90 mm Hg |
| PCO2 | 33 mm Hg |
| HCO3 | 8 mEq/L |
| **Serum chemistry** | |
| Sodium | 135 mEq/L |
| Potassium | 3.1 mEq/L |
| Chloride | 136 mEq/L |
| Blood urea nitrogen | 20 mg/dL |
| Creatinine | 1.2 mg/dL |

| **Urinalysis** | |
| --- | --- |
| Glucose | Positive |
| Ketones | Positive |
| Leukocytes | Negative |
| Nitrite | Negative |
| RBCs | Negative |
| Casts | Negative |

The patient is started on an intravenous bolus of normal saline (0.9% NaCl).","What is the most appropriate next step in her management?

A. Administer sodium bicarbonate.  
B. Administer a diuretic to correct hyperglycemia.  
C. Administer dextrose 5% in water.  
D. Perform hemodialysis.  
E. Administer calcium gluconate.  
F. Replace potassium intravenously.  
G. Start IV 5% dextrose.  
H. Administer subcutaneous insulin.  
I. Start IV insulin infusion.  
J. Start continuous bicarbonate infusion.",medxpert,F
ID0972,"3. She was treated successfully with fosfomycin for asymptomatic group B Streptococcus (GBS) bacteriuria during her first trimester. 5. She recalls developing a rash on her chest last year while taking amoxicillin for bacterial sinusitis, which resolved on its own.","What is the most appropriate next step in management?

A. Repeat urine culture at 37 weeks  
B. Administration of intrapartum cefazolin  
C. Collection of rectovaginal swab for culture  
D. Administration of oral amoxicillin for remainder of pregnancy  
E. Administration of intrapartum penicillin  
F. Collection of urine culture only  
G. No antibiotic prophylaxis needed  
H. Administration of intrapartum vancomycin  
I. Administration of intrapartum clindamycin  
J. Administration of intrapartum erythromycin",medxpert,B
ID0973,"1. A 31-year-old man presented with left cervical and left inguinal masses. 2. He reported intermittent itching and night sweats for 2 years. 5. On examination, there was left cervical and inguinal lymphadenopathy and no other organomegaly. 6. Complete blood cell count and peripheral blood smear showed marked leukocytosis, with a white blood cell count of 22 340/μL, an absolute neutrophil count of 5360/μL, and 55% eosinophils with an absolute eosinophil count of 12 290/μL (to convert all to cells ×109/L, multiply by 0.001). 12. Bone marrow biopsy showed hypercellular marrow (cellularity of 100%), myeloid hyperplasia, increased eosinophils with some dysplasia, and a blast count of 2%. 13. Positron emission tomographic–computed tomographic scan showed a left upper cervical lymph node of 2.6 cm and a left inguinal lymph node of 3.1 × 2.3 cm with an standardized uptake value max of 5.7 (Figure, A). 14. Left inguinal lymph node biopsy showed partial involvement by atypical cells with high proliferation index (Ki-67 >95%) that were positive for CD3, CD4, CD8, BCL2, and TDT, suggestive of T-cell lymphoblastic lymphoma/leukemia (Figure, B).A, Positron emission tomographic–computed tomographic (PET/CT) scan of the head and neck at presentation showing a left upper cervical lymph node of 2.6 cm (arrowhead). 15. B, Lymph node biopsy immunohistochemical stain with terminal deoxynucleotidyl transferase. 16. The inset shows interphase fluorescence in situ hybridization for FIP1L1::PDGFRA rearrangement (positive).","What Is Your Diagnosis?

A: Kimura disease  
B: Classic Hodgkin lymphoma  
C: T-cell acute lymphoblastic lymphoma/leukemia  
D: Myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions",jama,D
ID0974,"1. A 26-year-old man presents to the emergency department with fatigue and dark urine over the past day. 6. Physical exam reveals conjunctival icterus, bilateral flank tenderness, and erythema of the left leg.","Which of the following would most likely be seen on a peripheral blood smear in this patient?

A. Schistocytes  
B. Codocytes  
C. Acanthocytes  
D. Degmacytes",medbullets,D
ID0976,"1. A 41-year-old man who had immigrated to the United States from Costa Rica 10 years prior presented with a 2-year history of tingling and pain in his hands and feet.   3. Findings on skin examination included near-complete loss of eyebrows and eyelashes, a scaly plaque on the right shin, and mild bilateral erythema of the earlobes, distal fingers, and toes (Figure).   4. He also had right axillary and bilateral inguinal lymphadenopathy.   6. Empirically treat patient and close contacts with dapsone","What Would You Do Next?

A: Perform a biopsy of skin lesion  
B: Check rapid plasma reagin, thyroid-stimulating hormone level, and lead level  
C: Empirically treat with a topical steroid  
D: Empirically treat patient and close contacts with dapsone",jama,A
ID0979,"7. An anterior-superior iliac spine (ASIS) compression test is asymmetric, with the right ASIS inferior when supine and the left posterior-superior iliac spine (PSIS) inferior when prone. 8. The pubic symphysis is tender, with asymmetry of the pubic tubercles and a taut, tender left inguinal ligament.","What is the most likely diagnosis?

A. Left posterior innominate rotation  
B. Left superior pubic shear  
C. Bilateral pubic compression  
D. Right anterior innominate rotation  
E. Right posterior innominate rotation  
F. Left inferior pubic shear  
G. Sacral torsion on a left oblique axis  
H. Right superior pubic shear  
I. Right inferior innominate shear  
J. Pubic symphysis compression",medxpert,B
ID0981,"1. An 81-year-old Mexican man was evaluated in the retina clinic for scattered subretinal lesions in the right eye. 2. He complained of a gradual decline in his vision bilaterally over the past 2 years. 7. His visual acuity was 20/60 OD and 20/40 OS with normal intraocular pressures. 8. His slitlamp examination results were notable for mild nuclear sclerosis in both eyes and were negative for conjunctival or corneal lesions. 9. He had round, reactive pupils and no anterior chamber inflammation in either eye. 10. Dilated fundus examination results revealed a few pigmented anterior vitreous cells, a normal optic disc, and flat and large yellowish chorioretinal lesions with overlying pigment scattered throughout the macula and periphery in the right eye (Figure). 11. The left eye had several similar chorioretinal lesions in the superotemporal periphery.","What Would You Do Next?

A: Human leukocyte antigen (HLA) haplotyping (eg, for HLA-A29)  
B: Empirical steroids  
C: Interferon-γ release assay  
D: Observation",jama,C
ID0982,"1. A 39-year-old woman presented to the emergency department after she noticed that her left pupil was dilated when looking in the mirror earlier in the day.   3. She denied double vision, ptosis, headache, and weakness.   5. Visual acuity was 20/20 in both eyes, there was no ptosis, and extraocular movements were full.   6. Pupillary examination revealed anisocoria that was more pronounced in bright lighting conditions (Figure).   7. The right pupil measured 6 mm in the dark and 3 mm in the light, whereas the left pupil measured 9 mm in the dark and 8 mm in the light.   8. The left pupil was poorly reactive to light and to a near target.   10. Cranial nerve function was otherwise normal.  ","What Would You Do Next?

A: Order computed tomography angiography of the head to rule out aneurysmal compression of the left third cranial nerve  
B: Order magnetic resonance imaging of the brain to rule out a brainstem stroke  
C: Perform detailed review of systemic and topical medications  
D: Perform pharmacologic testing with apraclonidine to confirm Horner syndrome",jama,C
ID0987,"2. He reports that he has headaches at night several times a week. 3. He first developed these headaches over 1 year ago, but they started up again 3 weeks ago. 4. The episodes start suddenly and feel like a stabbing, electrical pain over his left eye. 5. He also reports tearing of the left eye during these episodes. 6. The headaches self-resolve over the course of 2-3 hours, but the patient complains that he is avoiding going to sleep for fear of waking up in pain.","Which of the following is most likely to prevent future episodes of headache in this patient?

A. Verapamil  
B. Sumatriptan  
C. Carbamazepine  
D. High-flow oxygen",medbullets,A
ID0992,"1. A 21-year-old female student presents to her university's health clinic with symptoms including vaginal itching, painful urination, pelvic discomfort, and malodorous vaginal discharge. 2. These symptoms have recurred four times in the past year, despite both she and her partner receiving multiple treatment courses of ceftriaxone combined with either doxycycline or azithromycin. 3. Physical examination reveals cervical friability and mucopurulent discharge from the cervix. 4. Microscopic examination of a wet mount preparation shows numerous polymorphonuclear leukocytes.","Which pathogen is the most probable cause of her cervicitis?

A. *Neisseria gonorrhoeae*  
B. *Mycoplasma genitalium*  
C. *Streptococcus agalactiae*  
D. *Mycoplasma hominis*  
E. *Chlamydia trachomatis*  
F. *Gardnerella vaginalis*  
G. *Ureaplasma urealyticum*  
H. *Candida albicans*  
I. Drug-resistant *Neisseria gonorrhoeae*  
J. *Trichomonas vaginalis*",medxpert,B
ID0994,"1. An 82-year-old female nursing home resident presents with a two-week history of constipation, abdominal pain, and bloating. 2. Previously, she had soft bowel movements every other day, but now moves her bowels every 3-4 days with hard stools and straining. 4. Her current medications include daily docusate, prune juice as needed, daily aspirin 81 mg, and amitriptyline 50 mg daily, which was started one month ago for depression. 6. The abdomen shows mild diffuse tenderness. 7. Rectal examination reveals a small anal fissure and hard stool, with normal sphincter tone.","What is the most appropriate next step in management?

A. Increase dietary fiber intake, and add polyethylene glycol daily  
B. Add a stimulant laxative and continue docusate daily  
C. Stop amitriptyline, and monitor the patient’s depressive symptoms  
D. Initiate bisacodyl suppositories and increase fluid intake  
E. Refer for surgical evaluation of chronic constipation  
F. Perform a colonoscopy to rule out malignancy  
G. Order CT of the abdomen and pelvis with intravenous and oral contrast  
I. Start methylnaltrexone for opioid-induced constipation  
J. Start lubiprostone, and consider senna if no bowel movement in one week",medxpert,C
ID0998,"1. A 64-year-old man presented to the emergency department with 2 months of progressively worsening vision in both eyes.   2. The worsening vision was preceded by binocular diplopia, which was intermittent at first and then became constant.   6. Visual acuity was found to be 20/200 OD and 20/25 OS.   9. On external examination, bilateral proptosis and increased resistance to retropulsion was observed.   10. There was very limited extraocular motility in all directions of gaze on the right side and moderately limited extraocular motility on the left side.   11. In addition, the patient had an esotropia and right hypertropia.   12. Anterior segment examination revealed bilateral chemosis.   13. The fundus examination (Figure 1) showed chorioretinal folds in both eyes and intraretinal hemorrhages in the right eye.   14. The optic discs had normal color and sharp margins bilaterally.A, Fundus photograph of the right eye showing prominent chorioretinal folds throughout the macula and 2 intraretinal hemorrhages near the vascular arcades.   15. B, Fundus photograph of the left eye, also demonstrating chorioretinal folds.  ","What Would You Do Next?  

A: Perform an orbital biopsy  
B: Order a computed tomographic scan of the orbits  
C: Obtain a consultation from the retina service  
D: Perform emergency canthotomy and cantholysis to decompress the orbits",jama,B
ID0999,"1. A 39-year-old woman, gravida 2, para 2, comes to the community-based health center because of a 6-month history of a copious, foul-smelling vaginal discharge. 2. She also reports spotting that began 6 months ago and has progressed to heavy bleeding during the past 3 weeks. 10. The cervix is friable with a 1-cm exophytic mass lateral to the cervical os at the nine o'clock position.","Which of the following is the most critical factor in formulating a management plan for this patient?

A. Hypertension

B. Obesity

C. Patient age

D. Stage of disease",mmlu,D
ID1001,"1. A 28-year-old woman visited the emergency department for a sudden, diffuse, and painful enlargement of the upper quadrants of the left breast with edema and palpable axillary lymph nodes without clinical signs of inflammation or infection (Figure 1A). 4. A, Asymmetric mass in the upper quadrant of the left breast. 5. B, Breast ultrasonogram revealing hypoechogenicity of the breast tissue with periductal small cysts. 9. On physical examination, the patient had a 6-cm hard mass without nipple discharge or retraction and left axillary palpable lymph nodes. 10. Breast ultrasonography revealed diffuse nonspecific hypoechogenicity of the breast tissue with periductal small cysts (Figure 1B). 11. Mammography revealed asymmetric density and distortion in the left upper quadrants. 12. Multiple 14-gauge ultrasound-guided biopsies in the upper quadrants of the left breast and fine-needle aspiration cytologic testing of an enlarged lymph node revealed granulomatous inflammation with epithelioid histiocytes, lymphocytes, plasma cells, and eosinophils. 14. Blood test results were as follows: hepatitis B surface antigen, hepatitis C antibody, human immunodeficiency virus enzyme-linked immunosorbent assay, and whole-blood interferon γ release assay (QuantiFERON), negative; IgG cytomegalovirus, positive; fibrinogen level, 234 mg/dL (to convert to micromoles per liter, multiply by 0.0294); erythrocyte sedimentation rate, 4 mm/h; leukocyte count, 7660/µL (to convert to ×109/L, multiply by 0.001); no acquired immunosuppression; and no hematologic disorders.","What Is Your Diagnosis?

A: Inflammatory breast cancer  
B: Tuberculous mastitis  
C: Idiopathic granulomatous mastitis  
D: Mastitis caused by immunosuppression",jama,C
ID1002,"1. A 30-year-old man had involuntary orofaciolingual movements for 7 years and unsteady gait for 2 months. 2. At age 23 years, he began experiencing involuntary orofaciolingual movements and vocalizations. 3. At age 27 years, he developed dysphagia, dysarthria, and involuntary tongue- and lip-biting. 4. This oral dyskinesias worsened while eating. 7. Orofacial dyskinesia (Video 1), involuntary vocalizations, and mild dysarthria were exhibited. 16. Acanthocytes were found in the blood smear via Wright staining (Figure, A).","What Is Your Diagnosis?

A: Pantothenate kinase–associated neurodegeneration  
B: Hypobetalipoproteinemia  
C: Chorea-acanthocytosis  
D: Huntington disease–like 2",jama,C
ID1005,"1. A previously healthy 40-year-old man presented with a 3-month history of a right breast mass slowly enlarging with associated pain. 5. There was a 3 × 4-cm hard, irregular, mobile nodule in the retroareolar area of the right breast, tethered to the overlying skin but not fixed to the underlying muscle. 7. The ipsilateral lymph nodes were palpable. 9. Right mediolateral oblique mammography (Figure, A) and computed tomography scan of the chest (Figure, B) are shown.A, Right mediolateral oblique view of male breast showing a breast mass and axillary lymph nodes. 10. B, Computed tomography of the chest showing the right breast mass involving the skin but not the pectoralis muscle.","What Is Your Diagnosis?

A: Gynecomastia  
B: Lipoma  
C: Carcinoma  
D: Epidermal inclusion cyst",jama,C
ID1009,"1. A 62-year-old woman presents with a one-month history of worsening dyspnea, a nonproductive cough, and weight loss. 2. She now experiences dyspnea at rest and severe shortness of breath when climbing one flight of stairs. 4. Her medical history includes nonischemic cardiomyopathy and sustained ventricular tachycardia, for which she has an implantable cardioverter-defibrillator. 5. She was started on oral amiodarone several months ago for recurrent ventricular tachycardia. 9. Cardiovascular examination is unremarkable, but pulmonary examination reveals bilateral inspiratory crackles. 10. An electrocardiogram shows normal sinus rhythm, and a chest radiograph demonstrates bilateral, diffuse interstitial opacities.","What is the most appropriate management strategy for this patient?

A. Switch amiodarone to dofetilide without additional treatment  
B. Continue amiodarone and add oral prednisone  
C. Perform a bronchoscopy and continue amiodarone until confirmed diagnosis  
D. Stop amiodarone and start oral prednisone plus another antiarrhythmic agent  
E. Stop amiodarone and give no additional treatment  
F. Initiate diuretic therapy to manage suspected pulmonary edema  
G. Start high-dose intravenous methylprednisolone without stopping amiodarone  
H. Discontinue all medications and initiate mechanical ventilation  
I. Stop amiodarone and initiate bronchodilator therapy with albuterol  
J. Stop amiodarone and start high-dose intravenous methylprednisolone plus another antiarrhythmic agent",medxpert,D
ID1013,1. A 47-year-old woman comes to the physician because of persistent nonproductive cough for 6 weeks. 3. She has hypertension treated with enalapril for the past 3 months.,"Which of the following is the most likely mechanism of this patient's cough?

A. Decreased plasma renin activity

B. Decreased serum angiotensin II concentrations

C. Increased serum angiotensin I concentrations

D. Increased serum bradykinin concentrations",mmlu,D
ID1014,"9. However, an echogenicity was noted compressing the superior vena cava and right ventricle.   10. The patient subsequently underwent computed tomographic imaging of the chest that revealed a large, 16.2 × 6.8 × 5.6-cm anterior mediastinal mass compressing the right cardiac structures, particularly the superior vena cava.   11. The mass consisted mostly of fat attenuation, but was interspersed with nodular densities (Figure 1B).   15. B, Tomographic examination revealed a large, anterior mediastinal mass with fat attenuation interspersed with nodular soft tissue elements (asterisk).","What Is Your Diagnosis?

A: Thymoma  
B: Thymolipoma  
C: Mediastinal lipomatosis  
D: Myelolipoma",jama,B
ID1015,"1. A man in his 60s who was a former smoker with a medical history of chronic obstructive pulmonary disease, type 2 diabetes, chronic kidney disease, anemia, and cervical myelopathy experienced low-grade fevers, unintentional 80-pound weight loss, productive cough, and development of cutaneous ulcers over a 6-month period after cervical spine fusion. 2. Two ulcers developed at the surgical site, and 2 similar ulcers developed on his back shortly after cyst excision. 7. In the right upper lobe, there were decreased breath sounds with clear auscultation in the remaining chest. 8. On the right anterior neck were two, 3- to 4-cm tender ulcers extending to the deep subcutaneous fat with erythematous, friable borders (Figure). 9. On his back were 2 similar 2- to 2.5-cm ulcers. 10. Inflammatory markers were notably elevated. 11. A complete autoimmune panel, indirect immunofluorescence assays, enzyme immunoassays for antineutrophil cytoplasmic antibodies (c-ANCA)/proteinase 3, antineutrophil cytoplasmic antibody/myeloperoxidase, a quantiferon gold test, cultures of blood, broncheoalveolar washings, and tissue analysis were performed. 12. Only c-ANCA testing revealed positive results. 13. A CT scan of the sinus showed multiple bony defects and acute and chronic sinusitis. 14. A transbronchial biopsy of the lung and excisional biopsy of the skin bridge between back ulcers were performed.","What Is Your Diagnosis?

A: Disseminated tuberculosis  
B: Paraneoplastic pyoderma gangrenosum  
C: Disseminated nocardiosis  
D: Granulomatosis with polyangiitis",jama,D
ID1016,"6. Dilated fundus examination revealed disc edema, peripapillary hemorrhages, and diffuse intraretinal hemorrhages throughout the posterior pole and periphery (Figure 1). 7. Spontaneous venous pulsations were not appreciated. 9. The fundus of the left eye showed peripapillary hemorrhages, nasal disc edema, and diffuse retinal and preretinal hemorrhages throughout the posterior pole and periphery; a white-centered hemorrhage is found within the superior macula.","What Would You Do Next?

A: Order a complete blood cell count and coagulation testing  
B: Oral and topical corticosteroids  
C: Plasmapheresis for hyperviscosity syndrome  
D: Fluorescein angiography",jama,D
ID1017,"1. A woman in her 30s was referred for evaluation of a large splenic cyst identified on a computed tomographic (CT) scan.   4. During that evaluation, the patient reported that she had run in areas with dog feces on the ground and had eaten sheep meat (notably, not organ meat); she denied consuming canine meat.   5. Results of serologic tests for Echinococcus antibody IgG were negative.   6. Results of a CT scan were remarkable for a 9.7 × 9.0 × 10.5-cm anterior cyst and a smaller posterior cyst measuring 4.6 × 4.7 × 3.8 cm, both with rim calcifications (Figure 1).   7. A large splenic cyst with calcified capsule is present in the anterior aspect of the spleen, with a smaller cyst in the posterior aspect of the spleen, also with calcified capsule.   9. Under higher resolution, debris is noted within the larger cyst.","What Is Your Diagnosis?

A: Congenital cyst  
B: Splenic abscess  
C: Cystic metastasis to the spleen  
D: Echinococcal disease",jama,D
ID1020,"2. On examination, her best-corrected distance visual acuity was 20/40 OD and 20/60 OS (baseline 20/40 OU).   4. Findings of Amsler grid testing were notable for a small area of distortion inferiorly in the left eye.   7. Findings of dilated fundus examination were notable for cup-disc ratio of 0.9 in the right eye and 0.85 in the left eye with temporal thinning, stable from prior, and new intraretinal thickening in the left eye.   8. Optical coherence tomography (OCT) imaging of the left eye revealed schiticlike separation of the outer plexiform and outer nuclear layers extending from the temporal edge of the optic nerve head to the fovea (Figure 1A), continuous with the peripapillary nerve sheath.   9. Optical coherence tomography (OCT) of macula demonstrating schisislike separation involving fovea (A) and OCT of optic nerve head, with optic pit marked with an arrowhead (B).","What Would You Do Next?

A: Pars plana vitrectomy  
B: Laser barricade  
C: Observation  
D: Genetic testing for the RS1 gene",jama,C
ID1021,"1. A 56-year-old woman with a history of multiple myeloma complicated by therapy-related acute myeloid leukemia was admitted for myeloablative conditioning in preparation for allogeneic hematopoietic cell transplant. 3. During her admission, the patient also developed painful necrotic skin lesions, a nonproductive cough, and altered mental status. 4. Physical examination findings demonstrated dusky, purpuric, and pink papulonodules, some with overlying eschar, scattered on the scalp, neck, trunk, and extremities (Figure, A). 5. Laboratory study results revealed a white blood cell count of 150/μL (reference range, 3500/μL to 10 500/μL), an absolute neutrophil count of 130/μL (reference range, 1500/μL to 7400/μL), and a platelet count of 19 ×103/μL (reference range, 150 ×103/μL to 400 ×103/μL). (To convert the white blood cell and neutrophil counts to cells ×109/L, multiply by 0.001; conversion of the platelet count to cells ×109/L is 1:1.) Blood culture results were negative. 7. The results of a CT scan of the chest demonstrated multifocal bilateral ground-glass patchy opacities, scattered solid bilateral pulmonary nodules, and a moderately sized pericardial effusion. 8. A biopsy specimen from a skin nodule on the left lateral thigh was obtained for histopathologic examination and tissue culture, and wet mount preparation of a tissue culture colony was performed (Figure, B). 9. A, Physical examination findings demonstrate dusky and pink papulonodules, some with overlying eschar, scattered on the scalp, neck, and extremities. 10. B, Lactophenol cotton blue staining of a tissue culture colony reveals septated hyphae and oval microconidia.","What Is Your Diagnosis?

A: Disseminated fusariosis  
B: Invasive aspergillosis  
C: Pseudomonal ecthyma gangrenosum  
D: Sweet syndrome",jama,A
ID1022,"1. An 86-year-old man presented with left forehead numbness and intermittent left eyelid edema for the past several months. 3. On examination, uncorrected visual acuity was 20/25 OU, pupils were equal and reactive to light without afferent defect, confrontational fields were normal, and ocular motility was full. 4. External examination was significant for decreased sensation in the distribution of the ophthalmic branch of the left trigeminal nerve. 5. A palpable mass was appreciated at the left supratrochlear notch. 6. There was 4 mm of proptosis and 2 mm of inferior globe dystopia, with increased resistance to retropulsion in the left eye. 7. Magnetic resonance imaging of the orbits demonstrated an infiltrating superomedial mass involving the extraconal and intraconal space on the left side (Figure 1). 9. An 86-year-old man presents with an infiltrating mass of the left superomedial orbit demonstrated on T1-weighted axial (A) and coronal (B) images.","What Would You Do Next?

A: Observe  
B: Administer empirical corticosteroid treatment  
C: Perform external beam radiotherapy  
D: Perform orbitotomy with biopsy",jama,D
ID1024,"2. His mother is concerned about his vision, as she noticed him squinting while watching television. 8. A photograph of his eyes is shown in Figure A. 9. When focusing on the pediatrician's penlight, the patient's left eye wanders. 10. However, when the right eye is covered, the left eye refocuses on the light.","Which of the following is the most appropriate next step in management for this patient?

A. Perform a Bielschowsky head tilt test  
B. Brain MRI  
C. Patch the left eye  
D. Patch the right eye",medbullets,D
ID1025,"5. After 10 minutes of pushing, there is a prolonged deceleration to 60/min.   6. The patient has the acute onset of shortness of breath, rapidly develops cyanosis, and becomes unresponsive.   7. Her pulse and blood pressure cannot be detected.   9. Five minutes later, there is bleeding from the nose, mouth, and intravenous sites.","Which of the following is the most likely diagnosis?

A. Amniotic fluid embolism

B. Intracerebral hemorrhage

C. Myocardial infarction

D. Status asmaticus",mmlu,A
ID1026,"3. She has had four episodes of urolithiasis over several years without any known predisposing factors. 6. Being adopted at birth, she has no available family history. 10. An intravenous pyelogram reveals striations in the papillary ducts of the renal medulla and multiple collecting duct cysts throughout both kidneys' medulla, with no cortical cysts.","What inheritance pattern is most likely associated with this condition?

A. Variable expressivity  
B. No inheritance pattern  
C. Incomplete penetrance  
D. Autosomal dominant  
E. X-linked dominant  
F. Autosomal recessive  
G. Codominant inheritance  
H. X-linked recessive  
I. Mitochondrial inheritance  
J. Multifactorial inheritance",medxpert,B
