Origin,human_sentence_ids,keep_k
ID1859,"1, 2, 12",3
ID1860,"2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",17
ID1862,"1, 5, 6",3
ID1863,"1, 3, 10",3
ID1865,"1, 2, 6, 7, 13",5
ID1866,"1, 3, 4",3
ID1868,"1, 3, 6, 7, 8",5
ID1870,"1, 2, 3, 6, 7",5
ID1871,"3, 4",2
ID1873,"1, 4",2
ID1874,"1, 4",2
ID1875,"1, 2, 3, 4, 5, 6, 7, 8",8
ID1876,"1, 3, 4, 5",4
ID1879,"1, 2, 3, 4, 5, 7, 8",7
ID1880,"2, 3, 4, 7, 10",5
ID1881,"1, 2",2
ID1882,"1, 4, 5, 6, 7",5
ID1886,"1, 2, 3, 6",4
ID1887,"1, 6, 8, 9, 10, 11",6
ID1888,"5, 6, 7",3
ID1889,"2, 7",2
ID1890,"1, 2",2
ID1892,"1, 2, 3, 6",4
ID1893,"1, 2, 3, 5, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19",14
ID1895,"1, 2, 3, 6, 7",5
ID1896,"1, 2, 5",3
ID1898,"1, 2, 3, 4, 6, 8",6
ID1899,"1, 2, 3, 4, 5",5
ID1900,"1, 6, 9, 13",4
ID1902,"1, 6, 7, 9, 11",5
ID1903,"1, 2, 4, 5, 7, 10",6
ID1904,"1, 2, 5",3
ID1905,"1, 3, 4, 7, 8",5
ID1908,"1, 3, 4, 5, 9",5
ID1909,"1, 2, 4, 6, 7",5
ID1910,"3, 4, 6",3
ID1911,"1, 5, 6, 7",4
ID1912,"1, 2, 3, 5, 6, 9, 10",7
ID1913,"1, 3, 4, 6, 7",5
ID1915,"1, 2, 3",3
ID1917,"1, 2, 4, 5, 6, 13, 15",7
ID1918,"1, 6, 9",3
ID1919,"1, 4, 6, 7",4
ID1923,"1, 3, 4, 5",4
ID1924,"1, 3",2
ID1925,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11",10
ID1927,"1, 2, 3, 5",4
ID1928,"1, 2, 3, 8, 9, 12",6
ID1929,"1, 4, 6, 7, 8",5
ID1931,"1, 2, 4, 5",4
ID1932,"1, 3, 5, 7, 8",5
ID1933,"1, 2, 4, 5, 16",5
ID1934,"1, 2, 3, 6",4
ID1937,"1, 2, 3, 4, 6, 7, 8, 9",8
ID1938,"1, 2, 3, 5, 6, 7, 10",7
ID1940,"1, 2, 6, 7",4
ID1941,"1, 5, 7, 8",4
ID1944,"1, 3, 5, 6, 7",5
ID1945,"1, 2, 3, 4, 7, 8",6
ID1946,"1, 2, 3, 6, 8",5
ID1947,"1, 2, 6, 7",4
ID1948,"3, 5, 6",3
ID1949,"1, 4, 7, 8, 9, 10",6
ID1951,"1, 2, 4, 6, 7, 8",6
ID1952,"1, 2, 3, 4, 5",5
ID1953,"1, 2, 4, 5, 6, 7",6
ID1955,"1, 2, 3, 5, 8, 9",6
ID1956,"1, 3, 4, 6",4
ID1957,"1, 2, 4",3
ID1958,"1, 4, 5",3
ID1959,"1, 2, 3, 5, 6, 11, 12, 13, 14, 16, 17, 18",12
ID1962,"1, 2, 4, 5, 6",5
ID1963,"1, 2, 9, 10, 11",5
ID1965,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 19, 20",16
ID1966,"1, 2, 3, 4, 6, 7, 8",7
ID1969,"1, 2, 3, 7, 8",5
ID1970,"1, 5, 6, 7, 8",5
ID1972,"1, 4, 6",3
ID1974,"1, 2, 3, 4, 5, 6, 7, 9",8
ID1975,"1, 3, 5, 6",2
ID1976,"2, 3",2
ID1977,"1, 6, 15",3
ID1979,"1, 2, 3, 5",4
ID1980,"1, 7",2
ID1981,"1, 17, 18",3
ID1983,"1, 2, 3, 5, 6, 7, 8, 9",8
ID1984,"2, 3, 4, 5, 6",5
ID1986,"1, 2, 4, 6",4
ID1987,"1, 2, 3, 4, 9, 10, 12",7
ID1989,3,1
ID1990,"2, 3, 4, 5, 6",5
ID1991,"1, 2, 5, 6, 13",5
ID1993,"1, 2",2
ID1994,1,1
ID1995,"1, 2, 5",3
ID1996,"1, 3",2
ID1997,"1, 2, 4",3
ID1998,"1, 2, 3, 4, 5, 6",6
ID1999,"1, 2, 5",3
