Origin,data_source_corr,answerable,correct_answer,GPT-5_Round1,GPT-5_Round2,GPT-4o_Round1,GPT-4o_Round2,Qwen-14B_Round1,Qwen-14B_Round2,Qwen-72B_Round1,Qwen-72B_Round2,Llama-70B_Round1,Llama-70B_Round2,MedGemma-27B_Round1,MedGemma-27B_Round2,Human_Majority_Round1,Human_Majority_Round2
ID1463,medxpert,yes,G,G,E,G,E,D,E,A,E,C,E,,,G,G
ID1464,jama,yes,A,A,C,C,C,D,D,C,C,C,C,C,C,C,C
ID1466,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,D,,D,D
ID1467,mmlu,yes,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D
ID1468,medbullets,yes,A,A,A,D,D,D,D,D,D,B,D,D,D,D,D
ID1469,jama,yes,C,C,C,C,C,C,C,C,C,B,C,,C,B,D
ID1474,mmlu,yes,B,B,B,B,B,B,B,,B,B,B,B,B,B,B
ID1475,medbullets,yes,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C
ID1479,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D
ID1480,medbullets,yes,D,A,A,D,D,D,D,,D,B,D,D,D,D,A
ID1483,medxpert,yes,F,C,H,H,H,H,I,B,E,C,E,,,H,G
ID1485,jama,yes,C,A,D,A,C,A,C,A,C,D,C,,C,A,C
ID1488,medbullets,yes,D,D,D,D,D,D,D,,D,C,A,D,,D,D
ID1489,medbullets,yes,A,A,A,A,D,A,A,A,A,A,A,A,,A,A
ID1491,jama,yes,B,B,B,D,D,D,C,C,B,A,B,,,B,B
ID1492,medxpert,yes,F,F,F,F,F,C,A,D,A,B,A,A,A,F,F
ID1494,medbullets,yes,B,B,B,B,B,B,B,B,B,C,B,,B,B,B
ID1496,medbullets,yes,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ID1500,mmlu,yes,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C
ID1501,medxpert,yes,J,J,J,E,E,E,E,,,B,E,,,E,J
ID1504,medxpert,yes,D,D,D,,D,D,D,E,,A,F,,,D,D
ID1505,jama,yes,D,D,D,D,D,,D,D,D,C,D,,,D,A
ID1506,mmlu,yes,D,D,D,D,D,D,B,D,D,B,D,D,D,D,D
ID1507,mmlu,yes,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C
ID1508,medbullets,yes,D,D,D,D,D,D,D,D,,B,D,D,D,D,B
ID1513,jama,yes,D,D,D,D,D,D,D,D,D,D,D,,D,D,D
ID1515,mmlu,yes,A,A,A,A,A,A,A,A,A,B,A,,A,A,A
ID1520,jama,yes,A,A,A,A,A,A,A,,A,B,A,,,A,A
ID1524,mmlu,yes,C,C,C,C,C,C,C,C,C,B,C,,C,C,C
ID1525,jama,yes,A,A,A,A,A,A,A,A,C,A,A,,,A,A
ID1526,medbullets,yes,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B
ID1530,jama,yes,D,A,A,A,A,D,A,D,D,B,D,A,A,D,D
ID1531,jama,yes,C,C,C,C,C,C,C,C,C,B,C,,C,C,C
ID1534,medbullets,yes,C,C,C,C,C,C,C,C,,D,C,,C,C,C
ID1536,medbullets,yes,A,A,A,A,A,A,D,A,D,C,A,A,A,A,A
ID1538,jama,yes,B,B,B,B,B,B,D,D,B,B,B,,,B,B
ID1539,medbullets,yes,D,D,D,D,D,A,C,D,C,C,C,A,D,D,D
ID1540,jama,yes,B,B,B,B,B,B,B,,B,B,B,,,B,A
ID1541,medbullets,yes,B,B,B,B,B,B,B,B,,C,B,,,B,B
ID1543,mmlu,yes,D,D,D,D,D,D,D,D,D,A,D,,,D,D
ID1544,mmlu,yes,C,C,C,C,C,C,C,C,,B,C,C,C,C,C
ID1550,jama,yes,B,B,B,B,B,D,D,D,,C,D,,,D,B
ID1551,jama,yes,C,C,C,C,C,C,C,,C,D,C,,,C,C
ID1552,medbullets,yes,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D
ID1553,medbullets,yes,A,A,A,A,A,A,A,A,A,B,A,,,A,A
ID1557,medxpert,yes,I,I,I,,I,B,B,B,B,B,C,,,I,B
ID1558,jama,yes,A,A,A,A,A,A,A,B,A,D,A,,,A,A
ID1559,medxpert,yes,J,J,J,E,J,G,I,I,I,B,G,I,G,J,G
ID1565,medbullets,yes,B,B,A,A,D,B,B,B,B,C,B,B,B,B,B
ID1567,medxpert,yes,E,E,E,A,A,A,A,A,A,D,A,A,A,E,A
ID1569,mmlu,yes,D,D,D,D,D,C,D,B,B,D,B,C,C,D,D
ID1570,medbullets,yes,A,A,A,A,A,D,D,A,A,B,A,,A,A,A
ID1571,medxpert,yes,B,C,C,,C,B,B,B,B,A,B,C,B,B,C
ID1572,medxpert,yes,F,F,I,F,F,I,I,G,G,D,G,,,F,F
ID1573,jama,yes,C,A,C,C,C,C,C,C,C,D,C,C,C,C,D
ID1574,jama,yes,C,C,C,C,C,C,C,C,C,B,C,,C,C,C
ID1575,jama,yes,C,C,C,C,C,C,C,B,C,C,C,,,C,C
ID1578,medxpert,yes,H,G,H,G,G,D,H,G,H,A,G,,,H,G
ID1581,jama,yes,D,D,D,D,D,D,D,D,D,C,C,,B,D,D
ID1582,medxpert,yes,F,C,C,J,J,H,H,H,,C,C,,,J,F
ID1583,mmlu,yes,A,A,A,A,A,A,A,A,,D,A,,,A,A
ID1585,jama,yes,C,C,C,C,C,B,B,,C,B,C,C,C,C,A
ID1586,mmlu,yes,D,D,D,D,D,D,D,,,A,D,,,D,D
ID1587,mmlu,yes,B,B,B,B,B,B,B,A,A,C,A,,,B,B
ID1588,jama,yes,D,B,D,B,B,C,D,,A,C,D,,,D,D
ID1590,mmlu,yes,A,A,D,A,D,D,D,D,D,A,D,D,D,A,A
ID1591,medxpert,yes,I,I,I,,I,D,I,I,,B,I,A,I,H,H
ID1593,medxpert,yes,J,J,J,,E,E,E,E,E,D,E,E,E,E,A
ID1594,jama,yes,B,B,B,B,B,B,B,,B,C,B,,,B,B
ID1596,mmlu,yes,D,D,D,C,C,C,C,C,C,B,C,,,D,C
ID1599,medbullets,yes,B,B,B,B,B,B,B,B,B,D,B,B,B,B,B
ID1602,medbullets,yes,A,A,A,B,A,C,C,B,A,A,A,,,A,A
ID1612,jama,yes,C,C,B,C,B,C,B,C,,C,A,,,C,A
ID1613,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D
ID1614,medxpert,yes,I,I,I,,C,F,F,F,F,B,A,C,C,D,I
ID1617,medxpert,yes,D,D,D,I,B,C,C,,C,C,C,,,D,C
ID1622,mmlu,yes,D,D,D,D,D,D,D,D,,C,D,,,D,D
ID1632,medbullets,yes,C,C,C,C,C,B,D,C,C,C,C,,,D,C
ID1633,mmlu,yes,D,D,D,D,D,A,A,D,D,C,D,D,,D,D
ID1636,medbullets,yes,B,B,B,B,B,B,D,,B,B,B,B,B,B,B
ID1637,medbullets,yes,D,D,D,D,D,B,D,D,D,B,D,D,D,D,D
ID1638,jama,yes,D,D,D,D,D,B,D,D,D,C,D,,D,D,D
ID1646,medxpert,yes,C,C,C,C,C,I,H,C,,D,C,,,C,F
ID1650,mmlu,yes,B,B,B,B,B,B,B,B,B,B,B,,B,B,B
ID1651,jama,yes,B,B,B,B,B,D,D,B,D,C,A,,A,B,B
ID1652,jama,yes,A,A,A,A,A,A,A,A,A,A,A,,A,A,A
ID1654,medxpert,yes,J,J,J,I,G,I,B,I,I,A,I,,,J,J
ID1656,medxpert,yes,E,A,A,E,E,E,E,E,J,C,E,,,E,E
ID1659,jama,yes,B,B,B,B,B,B,B,B,B,B,B,,,B,B
ID1660,mmlu,yes,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C
ID1662,mmlu,yes,D,D,D,D,D,D,D,D,,B,D,,,D,D
ID1663,jama,yes,B,B,B,B,B,B,B,B,D,C,B,,B,B,D
ID1664,jama,yes,D,D,C,D,D,D,D,,D,B,D,,,D,B
ID1667,medxpert,yes,A,F,F,F,F,A,A,F,F,A,F,F,F,F,F
ID1668,medbullets,yes,A,A,A,B,B,C,D,B,D,A,D,,,A,A
ID1672,jama,yes,D,D,C,B,C,D,D,B,D,D,D,,D,D,D
ID1673,medxpert,yes,B,B,B,,A,C,F,B,B,B,B,,B,B,B
ID1674,jama,yes,C,C,C,C,C,C,C,,C,A,C,,,C,B
ID1676,medxpert,yes,G,A,G,,E,A,B,C,B,B,C,,,G,B
ID1678,jama,yes,C,C,C,C,A,B,A,C,A,D,A,B,A,A,A
ID1679,jama,yes,D,D,D,D,D,D,D,D,D,C,D,,,D,D
ID1684,medxpert,yes,G,G,G,G,A,A,G,A,E,A,E,G,,G,G
ID1685,medbullets,yes,B,B,B,B,B,B,B,C,B,C,B,B,B,B,B
ID1688,mmlu,yes,D,D,D,D,D,D,D,D,D,D,D,,D,D,D
ID1691,medxpert,yes,F,F,F,F,F,J,F,G,J,D,J,,,F,F
ID1693,medbullets,yes,C,C,C,C,C,C,C,C,C,D,C,,C,C,C
ID1694,medxpert,yes,J,D,I,I,I,J,J,J,J,B,J,J,J,J,I
ID1696,medxpert,yes,J,J,J,J,J,I,A,B,F,C,F,,F,J,J
ID1698,medxpert,yes,B,B,B,,B,A,A,G,G,B,B,,D,B,F
ID1699,jama,yes,D,D,D,D,D,D,C,D,D,C,D,,,D,D
ID1700,mmlu,yes,C,C,C,C,C,C,C,C,,A,C,,,C,C
ID1701,mmlu,yes,B,B,B,B,B,B,B,B,B,B,B,,,B,B
ID1704,medbullets,yes,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C
ID1712,medxpert,yes,C,C,C,B,C,B,B,B,C,D,C,,C,B,C
ID1713,jama,yes,C,C,C,C,C,D,C,C,C,B,C,C,C,C,C
ID1715,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D
ID1717,medxpert,yes,A,A,A,,A,G,G,D,H,D,H,,H,I,D
ID1718,medbullets,yes,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C
ID1722,medxpert,yes,J,A,J,A,A,A,A,A,A,A,A,A,,A,H
ID1724,medxpert,yes,A,A,A,G,G,G,G,G,G,A,G,A,G,G,A
ID1725,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,,,D,D
ID1727,medxpert,yes,C,C,C,,C,G,G,G,G,C,G,G,J,C,C
ID1734,jama,yes,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
ID1738,medbullets,yes,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A
ID1741,medxpert,yes,F,F,F,F,F,F,F,F,F,D,F,F,F,F,G
ID1742,medxpert,yes,C,D,D,A,G,G,D,A,D,B,A,,,C,F
ID1743,medxpert,yes,A,A,A,,G,J,F,A,,B,A,,A,J,A
ID1744,medxpert,yes,A,B,D,,D,D,A,A,A,A,A,A,I,A,A
ID1746,medxpert,yes,E,E,E,I,I,I,I,J,J,A,J,,,J,H
ID1747,jama,yes,C,A,B,A,A,A,B,A,,C,B,,,A,B
ID1749,mmlu,yes,D,D,D,D,D,D,D,D,,A,D,,,D,D
ID1750,medxpert,yes,I,I,I,I,H,H,H,I,H,B,I,H,,H,I
ID1751,medxpert,yes,H,H,H,,H,G,G,G,G,D,G,,,H,B
ID1755,medxpert,yes,B,B,B,,B,D,G,D,G,B,G,B,,E,C
ID1757,medxpert,yes,J,J,J,,G,I,H,H,,B,H,,,J,A
ID1758,medxpert,yes,F,D,F,,G,H,H,H,H,B,H,,,F,G
ID1761,jama,yes,D,D,D,D,B,B,B,,,B,B,,,B,D
ID1762,jama,yes,B,B,B,B,B,B,D,D,D,C,B,,B,B,B
ID1766,medxpert,yes,D,D,D,D,D,D,D,D,D,B,D,,,D,D
ID1768,medbullets,yes,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C
ID1769,jama,yes,C,D,D,D,D,C,C,C,,C,C,,D,A,A
ID1772,medxpert,yes,E,E,E,D,D,E,E,E,E,C,E,,,E,F
ID1773,medxpert,yes,B,B,B,B,B,A,A,A,B,C,B,,,B,B
ID1774,mmlu,yes,B,B,B,B,B,B,B,B,B,C,B,,,B,B
ID1776,medxpert,yes,B,E,E,E,E,B,E,B,B,A,B,B,B,B,E
ID1777,medxpert,yes,E,B,E,,D,D,D,D,D,D,D,D,D,E,E
ID1778,medxpert,yes,I,I,I,C,C,D,D,D,D,A,D,,,I,I
ID1779,medxpert,yes,D,D,D,,A,E,D,,,B,A,,,D,D
ID1783,medxpert,yes,J,J,J,A,A,J,J,J,J,C,J,,,J,A
ID1788,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,,,D,D
ID1789,medxpert,yes,F,D,A,,A,J,J,J,J,A,J,,,F,D
ID1791,jama,yes,C,C,C,C,C,C,C,C,C,B,C,,,C,C
ID1792,jama,yes,C,C,C,C,C,C,C,C,C,A,C,,C,C,C
ID1793,mmlu,yes,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
ID1795,medxpert,yes,A,A,G,J,J,I,I,I,I,C,I,A,A,A,I
ID1797,jama,yes,B,B,D,D,D,D,B,D,D,A,D,,,B,D
ID1798,mmlu,yes,A,A,A,A,A,A,A,A,A,B,A,,,A,A
ID1800,mmlu,yes,A,A,A,A,A,A,A,A,,C,A,A,A,A,A
ID1802,jama,yes,C,C,C,C,C,C,C,C,C,B,C,,C,C,C
ID1807,jama,yes,B,B,B,B,B,B,B,B,,C,B,,B,D,B
ID1808,mmlu,yes,B,B,B,B,B,B,B,B,,A,B,B,B,B,B
ID1817,medxpert,yes,C,C,C,C,C,C,C,A,A,C,C,,,C,C
ID1818,mmlu,yes,B,B,B,B,B,B,B,,B,B,B,,,B,B
ID1819,jama,yes,C,C,C,C,C,C,C,C,C,B,C,C,C,A,C
ID1820,jama,yes,B,B,B,B,B,B,B,B,B,C,B,,B,B,B
ID1821,medbullets,yes,D,D,D,B,D,D,D,,B,B,B,,,B,D
ID1822,medbullets,yes,B,B,B,B,B,B,C,D,C,C,C,,B,C,B
ID1824,medbullets,yes,D,D,D,D,D,D,D,D,D,D,D,,,D,D
ID1825,medxpert,yes,H,H,J,J,J,E,E,E,E,C,E,E,J,H,E
ID1826,mmlu,yes,A,A,A,A,A,A,D,A,A,D,A,A,A,A,A
ID1827,mmlu,yes,D,D,D,B,B,D,D,D,D,D,D,B,B,D,D
ID1831,jama,yes,C,C,C,C,C,D,A,A,A,D,A,,,C,C
ID1833,medbullets,yes,A,A,A,A,A,A,A,A,A,B,A,,A,A,A
ID1834,medxpert,yes,E,G,G,B,E,J,J,,J,D,J,,,E,I
ID1837,jama,yes,C,C,C,C,C,C,C,C,C,B,C,,,C,C
ID1838,medbullets,yes,B,B,B,B,B,B,B,A,B,C,B,C,,B,B
ID1840,medxpert,yes,D,D,D,,D,D,D,D,D,B,D,,,B,D
ID1841,jama,yes,A,D,A,D,A,A,A,A,A,C,A,,,D,C
ID1842,jama,yes,B,B,B,B,B,B,B,B,B,D,B,,,A,B
ID1843,mmlu,yes,D,D,D,D,D,D,D,D,D,C,D,D,D,A,D
ID1845,medbullets,yes,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A
ID1846,medbullets,yes,B,B,B,B,B,D,C,C,D,C,D,B,B,B,B
ID1849,mmlu,yes,B,B,B,B,B,B,B,B,B,D,B,B,,B,B
ID1850,jama,yes,C,A,A,C,C,B,B,C,C,D,C,,C,A,C
ID1851,mmlu,yes,D,D,D,D,B,B,B,,,B,B,B,B,D,D
ID1855,jama,yes,C,C,C,C,C,C,C,A,C,D,C,,,B,A
ID1858,medxpert,yes,F,C,C,C,C,C,C,C,C,C,C,,,F,F
ID1859,jama,yes,B,D,D,C,C,B,B,B,B,B,B,,B,D,B
ID1862,mmlu,yes,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
ID1863,mmlu,yes,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
ID1865,jama,yes,C,C,C,C,C,D,D,B,C,A,C,,C,C,C
ID1866,mmlu,yes,A,A,A,A,A,A,A,A,A,A,A,,A,A,A
ID1873,mmlu,yes,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D
ID1874,mmlu,yes,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A
ID1875,jama,yes,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D
ID1880,medbullets,yes,B,B,B,B,B,B,B,B,B,C,C,,C,B,B
ID1881,mmlu,yes,A,A,A,A,A,D,A,A,,B,A,A,A,A,A
ID1882,medbullets,yes,D,A,D,B,C,B,C,B,C,A,C,B,A,C,D
ID1886,medxpert,yes,F,A,A,A,F,A,A,A,A,A,A,B,,F,I
ID1887,jama,yes,C,B,C,C,C,C,C,C,C,B,C,C,C,C,B
ID1888,medxpert,yes,E,E,E,I,I,F,D,D,D,B,D,,,E,C
ID1889,mmlu,yes,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C
ID1890,medxpert,yes,J,J,J,I,J,H,E,E,E,D,E,,,J,E
ID1892,medxpert,yes,H,H,H,H,H,G,G,G,G,C,G,G,G,H,H
ID1893,jama,yes,C,C,C,C,C,C,C,A,C,D,C,,,A,C
ID1895,medbullets,yes,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
ID1896,medxpert,yes,J,J,J,J,J,G,G,G,G,B,G,,G,J,J
ID1898,medbullets,yes,C,C,C,C,C,C,C,C,C,C,C,A,,C,C
ID1900,jama,yes,C,C,C,C,C,C,C,C,C,C,C,,,C,C
ID1902,jama,yes,C,A,A,B,A,C,B,B,,A,B,,B,B,C
ID1904,jama,yes,D,D,D,B,D,B,D,D,D,A,D,,,D,D
ID1905,medxpert,yes,G,G,G,F,F,F,F,F,F,B,F,,,G,G
ID1908,mmlu,yes,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C
ID1909,jama,yes,C,C,C,C,C,C,C,C,C,B,C,,,C,C
ID1910,medxpert,yes,F,F,F,E,H,C,E,D,H,D,H,E,H,F,E
ID1911,mmlu,yes,D,D,D,D,D,B,B,B,B,C,B,,,D,D
ID1912,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,,,D,D
ID1913,medxpert,yes,E,E,E,G,G,G,G,E,D,C,D,,,G,G
ID1915,medxpert,yes,G,G,G,A,I,F,A,,A,C,C,,,G,D
ID1917,jama,yes,B,B,B,B,B,B,B,B,B,D,B,,,B,B
ID1918,jama,yes,C,A,A,C,C,C,C,,C,C,C,,C,C,C
ID1919,medbullets,yes,C,C,C,C,A,A,A,C,C,B,C,A,A,C,C
ID1923,medxpert,yes,D,D,D,,D,C,H,C,E,B,E,,,D,C
ID1924,medxpert,yes,F,F,F,,F,F,F,F,F,D,F,,F,F,F
ID1925,jama,yes,C,C,C,C,C,C,C,C,C,D,C,,,C,C
ID1927,medbullets,yes,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B
ID1928,jama,yes,C,C,C,C,C,A,A,D,C,D,C,,,C,C
ID1929,medxpert,yes,F,D,D,F,F,F,F,F,F,D,F,G,G,F,G
ID1931,jama,yes,A,A,A,A,A,C,B,C,A,D,A,C,A,A,B
ID1934,jama,yes,A,A,A,A,A,A,A,A,A,B,A,,,A,A
ID1937,jama,yes,B,B,A,B,C,B,B,,B,D,B,,,B,B
ID1938,medbullets,yes,A,A,A,A,A,A,A,A,A,C,A,,A,A,A
ID1940,jama,yes,B,B,B,B,B,B,C,B,B,D,B,,,B,B
ID1941,medxpert,yes,F,B,B,,F,C,C,,F,D,F,F,,C,H
ID1944,medxpert,yes,J,A,A,A,J,J,A,F,J,B,J,,,A,A
ID1945,medbullets,yes,B,B,B,B,B,A,A,B,C,D,C,A,A,B,B
ID1946,medxpert,yes,A,A,A,G,G,G,I,I,I,A,A,,,A,A
ID1947,medxpert,yes,D,D,B,,B,B,G,C,,C,G,,,D,C
ID1948,medxpert,yes,H,F,F,F,F,F,G,F,,D,F,F,,H,H
ID1955,medbullets,yes,C,C,C,C,C,A,A,A,A,D,A,,A,C,C
ID1956,jama,yes,C,C,C,C,C,C,C,C,C,A,C,,C,C,C
ID1957,medxpert,yes,E,B,B,,E,E,E,B,E,A,E,,,E,B
ID1959,jama,yes,D,D,D,D,D,A,A,D,A,B,D,,D,D,B
ID1963,medbullets,yes,B,B,B,B,B,D,B,B,,C,B,B,B,B,B
ID1966,jama,yes,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
ID1969,mmlu,yes,A,D,A,A,A,A,A,A,A,A,A,,A,A,A
ID1970,jama,yes,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B
ID1972,mmlu,yes,B,B,B,B,B,C,C,B,B,D,B,B,B,B,B
ID1974,medbullets,yes,C,C,C,C,C,C,C,C,,A,C,C,C,C,C
ID1975,medxpert,yes,A,A,I,,E,F,F,D,,A,D,,,A,H
ID1976,medxpert,yes,A,A,A,,A,C,F,C,C,C,C,C,C,A,A
ID1979,medxpert,yes,H,H,H,H,H,G,D,H,G,B,G,G,G,H,H
ID1980,medxpert,yes,I,I,I,I,I,I,I,B,B,B,B,G,,I,I
ID1981,jama,yes,D,D,D,D,D,A,A,B,B,C,B,,D,A,A
ID1983,medbullets,yes,D,D,D,D,D,C,D,D,,B,D,D,C,D,D
ID1984,mmlu,yes,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D
ID1986,jama,yes,C,C,C,C,C,C,C,A,A,B,A,C,C,C,A
ID1989,mmlu,yes,B,B,B,B,B,B,B,,,D,B,B,B,B,B
ID1993,mmlu,yes,D,D,D,D,D,C,C,D,D,D,D,D,D,D,D
ID1995,mmlu,yes,D,D,D,D,D,D,D,D,D,D,D,,,D,D
ID1996,mmlu,yes,D,D,D,D,D,D,D,D,D,C,D,,,D,D
ID1997,medxpert,yes,B,B,B,C,C,C,C,C,C,C,C,,C,C,B
ID1999,medxpert,yes,C,E,E,E,E,E,E,E,E,B,E,C,C,E,E
